ID WHO city,Region,iso3,Country,City/Town,"Annual mean, ug/m3",Year,Number and type of monitoring stations (PM10),note on converted PM10,"Annual mean, ug/m3",Year,Number and type of monitoring stations (PM2.5),note on converted PM2.5,Temporal coverage,for air quality,
1,Emr LMI,AFG,Afghanistan,Kabul,260,2009,"1 station, 1 station: urban",measured data,86,2009,"1 station, 1 station: urban",measured data,PM10: <75%, PM2.5:<75%,"Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012"
2,Emr LMI,AFG,Afghanistan,Mazar-e Sharif,334,2009,"1 station, 1 station: urban outskirts",measured data,68,2009,"1 station, 1 station: urban outskirts",measured data,PM10: <75%, PM2.5:<75%,"Magnusson et al., Broad Exposure Screening of Air Pollutants in the Occupational Environment of Swedish Soldiers Deployed in Afghanistan; MILITARY MEDICINE, 177, 3:318, 2012"
3,Eur LMI,ALB,Albania,TIRANA,31.61542142,2013,"1 station, traffic, urban",measured data,16.06236628,2013,"1 station, traffic, urban",measured data,PM10: >75%, PM2.5:>75%,"European Environment Agency, Air quality e-reporting database"
4,Eur HI,AND,Andorra,Escaldes-Engordany,18,2014,"1 station, urban",measured data,11,2014,"1 station, urban",measured data,PM10: NA, PM2.5:NA,Qualitat de l'aire a Andorra
5,Amr HI,ARG,Argentina,Buenos Aires,26.1516666667,2015,"3 stations, residencial commercial",measured data,14.1595930494,2015,-,converted from PM10,PM10: >75%, PM2.5:NA,"Agencia de Proteccion Ambiental, Buenos Aires"
6,Wpr HI,AUS,Australia,Adelaide,16.6571428571,2014,"7 stations, Residential (outer urban) and residential/light industry",measured data,7.1,2014,"2 stations, Residential (outer urban)",measured data,PM10: NA, PM2.5:NA,Environment Protection Authority
7,Wpr HI,AUS,Australia,Albany,15.999,2014,"1 station, rural (small town)",measured data,6.8635980558,2014,-,converted from PM10,PM10: NA, PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
8,Wpr HI,AUS,Australia,Albury,15.9,2014,"1 station, Rural (small town)",measured data,6.8211268884,2014,-,converted from PM10,PM10: NA, PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
9,Wpr HI,AUS,Australia,Ayr,19.9,2014,"1 station, Rural (small town)",measured data,8.5371336528,2014,-,converted from PM10,PM10: NA, PM2.5:NA,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/
10,Wpr HI,AUS,Australia,Bathurst,14.6,2014,"1 station, Rural (small town)",measured data,6.26342469,2014,-,converted from PM10,PM10: NA, PM2.5:NA,http://www.environment.nsw.gov.au/AQMS/
11,Wpr HI,AUS,Australia,Brisbane,15.8375,2014,"8 stations, Residential (inner urban)",measured data,5.725,2014,"4 stations, Residential (inner urban)",measured data,PM10: >75%, PM2.5:>75%,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/
12,Wpr HI,AUS,Australia,Bunbury,16.1,2014,"1 station, rural (small town)",measured data,7.778,2014,"1 station, rural (small town)",measured data,PM10: NA, PM2.5:>75%,http://www.der.wa.gov.au/your-environment/air
13,Wpr HI,AUS,Australia,Busselton,16.7831506249,2014,-,converted from PM2.5,7.2,2014,"1 station, rural (small town)",measured data,PM10: NA, PM2.5:>75%,http://www.der.wa.gov.au/your-environment/air
14,Wpr HI,AUS,Australia,Canberra,15.850753368,2014,-,converted from PM2.5,6.8,2014,"1 station, Monash district playing fields",measured data,PM10: NA, PM2.5:>75%,http://www.environment.act.gov.au/__data/assets/pdf_file/0005/745646/2014-ACT-Air-Quality-Report-v1-0.pdf
15,Wpr HI,AUS,Australia,Central Coast,12.8204622829,2014,-,converted from PM2.5,5.5,2014,"1 station, race course",measured data,PM10: NA, PM2.5:>75%,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
16,Wpr HI,AUS,Australia,Collie,19.2,2014,"1 station, rural (small town)",measured data,8.236832469,2014,-,converted from PM10,PM10: NA, PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
17,Wpr HI,AUS,Australia,Darwin,18.881044453,2014,-,converted from PM2.5,8.1,2014,"1 station, residential",measured data,PM10: NA, PM2.5:>75%,http://www.ntepa.nt.gov.au/__data/assets/pdf_file/0011/359048/nepm_compliance_report_nt_2014.pdf
18,Wpr HI,AUS,Australia,"Devonport, Tasmania",14.918356111,2013,-,converted from PM2.5,6.4,2013,"1 station, residential",measured data,PM10: NA, PM2.5:>75%,Environment Protection Authority
19,Wpr HI,AUS,Australia,Geelong,17.5,2014,"1 station, Residential/Light Industry",measured data,7.5075295942,2014,-,converted from PM10,PM10: >75%, PM2.5:NA,"EPA Victoria, Environment Protection Authority Macleod"
20,Wpr HI,AUS,Australia,Geraldton,22.3,2014,"1 station, rural (small town)",measured data,9.5667377114,2014,-,converted from PM10,PM10: NA, PM2.5:NA,http://www.der.wa.gov.au/your-environment/air
21,Wpr HI,AUS,Australia,Gladstone,14.025,2014,"4 stations, Residential (outer urban)",measured data,4.95,2014,"4 stations, Residential (outer urban)",measured data,PM10: >75%, PM2.5:>75%,http://www.qld.gov.au/environment/pollution/monitoring/air-monitoring/network-stations/
22,Wpr HI,AUS,Australia,"Hobart, Tasmania",14.2190581683,2013,-,converted from PM2.5,6.1,2013,"1 station, residential",measured data,PM10: NA, PM2.5:>75%,Environment Protection Authority
23,Wpr HI,AUS,Australia,La Trobe Valley,19.95,2013.5,"2 stations, residential, rural",measured data,9.8,2014,"3 stations, residential, rural",measured data,PM10: >75%, PM2.5:>75%,http://www.epa.vic.gov.au/our-work/monitoring-the-environment/monitoring-victorias-air/monitoring-results/~/media/Files/Our%20work/Monitoring%20the%20environment/Monitoring%20Vics%20air/monitoring%20results/2013-data-tables.pdf
24,Wpr HI,AUS,Australia,"Launceston, Tasmania",18.881044453,2013,-,converted from PM2.5,8.1,2013,"1 station, Rural (small town)",measured data,PM10: NA, PM2.5:<75 % but annually representative,Environment Protection Authority
25,Wpr HI,AUS,Australia,Lower Hunter,17.3270490248,2014,-,converted from PM2.5,7.4333333333,2014,"3 stations, high school",measured data,PM10: NA, PM2.5:>75%,http://www.environment.nsw.gov.au/resources/aqms/150004nswairqual14.pdf
26,Wpr HI,AUS,Australia,Mackay,17.2,2014,"1 station, residential rural",measured data,7.3788290868,2014,-,converted from PM10,PM10: >75%, PM2.5:NA,http://www.qld.gov.au/environment/assets/documents/pollution/monitoring/air-reports/air-monitoring-report.pdf
